"Administrative Unit Number","School Number","Institution Name","Address","Address Line 2 ","City","State","Zip Code","Zip Code Extension","Latitude","Longitude","WebAddress","Grades","Georeferenced Latitude & Longitude"
"326510079","0","Community Partnership School","3033 W Glenwood Ave",,"Philadelphia","PA","19121",,"39.98126","-75.185371","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-75.185371 39.98126)"
"109248003","6697","South St Marys Street El Sch","370 S Saint Marys St",,"Saint Marys","PA","15857","1649","41.424638","-78.560935","http://www.smasd.org","PreKF,K5F-5","POINT (-78.560935 41.424638)"
"103022803","0","East Allegheny SD","1150 Jacks Run Rd",,"North Versailles","PA","15137","2797","40.366155","-79.78386","http://www.eawildcats.net",,"POINT (-79.78386 40.366155)"
"223469502","0","Shipley School","814 Yarrow Street",,"Bryn Mawr","PA","19010",,"40.02406","-75.314461","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-75.314461 40.02406)"
"916490543","0","Priestley Forsyth Mem Library","100 King St",,"Northumberland","PA","17857","1670","40.890027","-76.7941727","http://www.priestleyforsyth.org/",,"POINT (-76.7941727 40.890027)"
"113384603","0","Lebanon SD","1000 S 8th St",,"Lebanon","PA","17042","6726","40.325818","-76.421902","http://www.lebanon.k12.pa.us",,"POINT (-76.421902 40.325818)"
"103022481","8160","Penn Hills CS of Entrepreneurship","2501 Main Street",,"Pittsburgh","PA","15235",,"40.470677","-79.789144","http://phcharter.org","K5F-6,7-8","POINT (-79.789144 40.470677)"
"105201352","1632","Cochranton JSHS","105 Second Street","P O Box 127","Cochranton","PA","16314","127","41.52335744","-80.05373501","http://www.craw.org","12-Jul","POINT (-80.05373501 41.52335744)"
"112281302","2209","Scotland El Sch","3832 Scotland Main St",,"Chambersburg","PA","17202",,"39.967255","-77.584475","http://www.casdonline.org","K5F-5","POINT (-77.584475 39.967255)"
"122092353","4680","Holland El Sch","597 Beverly Road",,"Holland","PA","18966",,"40.18363064","-74.98506336","https://www.crsd.org/hollandes","K5H,1-6","POINT (-74.98506336 40.18363064)"
"207651185","0","Calvary Early Learning Center","4725 Old William Penn Highway",,"Murrysville","PA","15668","2012","40.424031","-79.666364","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-79.666364 40.424031)"
"120452003","7536","Bushkill El Sch","131 North School Dr",,"Dingmans Ferry","PA","18328","9804","41.1705524","-75.02128639","http://www.esasd.net/bes/","K5F-5","POINT (-75.02128639 41.1705524)"
"210184003","0","Meadow Brook Parochial School","16 Snook Rd",,"Loganton","PA","17747",,"41.02803","-77.259561","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-77.259561 41.02803)"
"224158702","0","CFS School At Church Farm","1001 East Lincoln Hwy",,"Exton","PA","19341",,"40.03197","-75.591801","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-75.591801 40.03197)"
"101301403","0","Central Greene SD","250 S. Cumberland Street",,"Waynesburg","PA","15370",,"39.893945","-80.183838","http://www.cgsd.org",,"POINT (-80.183838 39.893945)"
"126515001","7226","Fell D Newlin Sch","900 W Oregon Ave",,"Philadelphia","PA","19148","4504","39.91546963","-75.16340801","http://www.philasd.org","K5F-6,7-8","POINT (-75.16340801 39.91546963)"
"224157052","0","Sandy Hill School","162 Ash Road",,"Coatesville","PA","19320",,"40.01105","-75.892271","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-75.892271 40.01105)"
"215502600","0","Fowlers Hollow Amish School","2811 Fowlers Hollow Rd",,"Blain","PA","17006",,"40.30383","-77.538125","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-77.538125 40.30383)"
"112281302","6274","Hamilton Heights El Sch","1589 Johnson Rd",,"Chambersburg","PA","17201","8631","39.954244","-77.684942","http://www.casdonline.org","K5F-5","POINT (-77.684942 39.954244)"
"208115005","0","Divine Mercy Catholic Academy-West Campus","430 Tioga St",,"Johnstown","PA","15905",,"40.32065","-78.933381","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-78.933381 40.32065)"
"206615004","0","Pine Valley Amish School","41982 Buells Corners Road",,"Centerville","PA","16404",,"41.744691","-79.717343","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-79.717343 41.744691)"
"209247604","0","St Marys Catholic Middle School","600 Maurus Street",,"Saint Marys","PA","15857",,"41.42747","-78.5724","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-78.5724 41.42747)"
"912010453","0","Adams County Library System","140 Baltimore St",,"Gettysburg","PA","17325","2373","39.8288261","-77.2306809","http://www.adamslib.org",,"POINT (-77.2306809 39.8288261)"
"228034254","0","Orchard Hills Chrst Academy","385 Kings Road",,"Apollo","PA","15613",,"40.57942","-79.523911","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-79.523911 40.57942)"
"126515001","3697","Moffet John Sch","127 W Oxford St",,"Philadelphia","PA","19122","3994","39.97482194","-75.13588431","http://www.philasd.org","K5F-5","POINT (-75.13588431 39.97482194)"
